Label,Leer,Anstreichung,Unterstreichung,Durchstreichung,SonstigeMarkierung,ZusatzMaterial,Anderes,Provenienz,Stempel,Kommentar,Bewertung,Textkorrektur,Variante,Uebersetzung,Verfasser
Q107,297,0,0,0,0,1,1,2,2,1,0,0,0,0,"Fontane, Theodor"
Q108,407,12,16,0,3,0,8,2,3,5,0,1,0,0,"Voß, Sophie Marie Gräfin von "
Q109,701,0,4,1,4,0,4,2,1,0,0,0,0,0,"Storm, Theodor"
Q11,1002,0,2,0,6,8,12,2,4,10,0,0,0,0,"Fontane, Theodor"
Q110,58,17,6,0,0,2,0,4,1,7,7,0,0,0,"Brahm, Otto"
Q12,553,0,1,0,1,0,3,1,1,2,0,1,0,0,"Fontane, Theodor"
Q13,523,0,1,0,0,0,27,3,1,2,0,0,0,0,"Fontane, Theodor"
Q14,468,1,0,1,0,8,2,2,1,2,0,1,0,0,"Fontane, Theodor"
Q15,453,0,1,0,1,0,3,3,1,3,0,0,0,0,"Fontane, Theodor"
Q16,460,5,8,1,0,0,3,3,1,9,0,1,0,0,"Fontane, Theodor"
Q17,690,0,0,0,0,2,2,2,8,0,0,0,0,0,"Fontane, Theodor"
"Q18,1-3",577,43,8,0,1,0,75,1,2,3,7,0,0,0,"Alexis, Willibald"
"Q18,4-8",210,158,14,10,5,0,229,1,2,21,37,11,0,0,"Alexis, Willibald"
Q19,102,12,1,0,35,0,1,1,1,0,6,2,0,0,"Alexis, Willibald"
Q2,270,8,1,4,7,0,9,2,1,4,0,2,11,0,"Fontane, Theodor"
Q20,274,87,45,0,2,0,70,2,2,6,18,0,0,0,"Alexis, Willibald"
Q21,402,132,45,0,0,0,143,1,3,16,25,5,0,0,"Alexis, Willibald"
"Q22,1",460,0,0,0,0,0,6,1,2,1,0,0,0,0,"Ariosto, Ludovico"
"Q22,2",423,0,0,0,0,0,3,1,2,0,0,0,0,0,"Ariosto, Ludovico"
"Q22,3",415,0,0,0,0,0,5,1,2,0,0,0,0,0,"Ariosto, Ludovico"
"Q22,4",414,0,0,0,11,0,4,1,2,0,0,0,0,0,"Ariosto, Ludovico"
"Q23,1",473,0,0,0,0,0,2,1,1,0,0,0,0,0,"Baechtold, Jakob"
"Q23,2",549,3,0,0,0,2,3,1,1,2,0,0,0,0,"Baechtold, Jakob"
"Q23,3",680,0,0,0,0,0,2,1,1,0,0,0,0,0,"Baechtold, Jakob"
Q24,539,1,0,0,0,1,2,1,1,2,0,0,0,0,"[Black, Adam u. Charles]"
Q25,83,0,0,0,2,0,18,1,2,0,0,0,0,0,"Blumenthal, Oscar"
Q26,213,0,0,0,0,0,3,1,2,0,0,0,0,0,"Böhm, Richard"
Q27,345,0,0,0,0,0,3,1,2,0,0,0,0,0,[ohne Angabe]
Q28,626,6,3,0,2,0,1,1,1,3,0,1,0,0,"Dahn, Felix"
Q29,360,0,0,0,0,0,5,1,2,0,0,0,0,0,"[Lawrence, Steven] Edwards, Anni"
Q3,339,3,0,3,6,0,8,3,1,3,0,0,3,0,"Fontane, Theodor"
Q30,111,0,0,0,0,0,4,1,1,1,0,0,0,0,"Fitger, Arthur"
Q31,481,0,0,0,0,8,3,1,1,0,0,0,0,0,"Forster, John"
Q32,314,0,0,0,0,3,4,2,2,0,0,0,0,0,"Baumbach, Rudolf; Dahn, Felix; Ebers, Georg; Ebner-Eschenbach, Marie von; Eckstein, Ernst; Fontane, Theodor; Franzos, Karl Emil; Fulda, Ludwig; Heyse, Paul; Hopfen, Hans; Jensen, Wilhelm; Lingg, Hermann; Meyer, Conrad Ferdinand; Schubin, Ossip; Spielhagen, Friedrich; Sudermann, Hermann; Voß, Richard; Wichert, Ernst; Wolff, Julius"
"Q33,1",135,78,7,0,240,0,61,2,1,27,24,0,0,0,"Freytag, Gustav"
"Q33,2",100,38,10,0,256,0,65,2,1,19,10,0,0,0,"Freytag, Gustav"
Q34,390,0,0,0,0,0,4,5,2,0,0,0,0,0,"Geibel, Emanuel"
Q35,92,7,12,0,0,0,1,1,2,11,3,1,0,0,"Gensichen, Otto Franz"
"Q36,1",595,4,3,0,30,0,1,1,1,29,0,0,0,0,"Goethe, Johann Wolfgang von"
"Q36,2",860,54,8,1,5,0,1,1,1,12,12,1,0,0,"Goethe, Johann Wolfgang von"
"Q36,4",845,8,1,0,2,0,1,1,1,0,0,0,0,0,"Goethe, Johann Wolfgang von"
"Q36,5",731,0,0,0,24,0,1,1,1,0,0,0,0,0,"Goethe, Johann Wolfgang von"
"Q36,6",697,0,0,0,0,0,2,1,1,0,0,0,0,0,"Goethe, Johann Wolfgang von"
Q37,192,1,0,0,1,0,4,1,1,0,0,0,0,0,"Hamerling, Robert"
Q38,201,41,11,2,1,0,3,1,3,34,11,8,0,0,"Hamerling, Robert"
Q39,290,11,0,1,8,0,1,3,1,4,7,12,0,0,"Heine, Heinrich"
"Q4,1",681,0,0,0,2,0,12,1,1,1,0,0,0,0,"Fontane, Theodor"
"Q4,2",318,0,0,0,0,0,16,1,1,0,0,0,0,0,"Fontane, Theodor"
Q40,66,0,0,0,0,0,2,1,2,0,0,0,0,0,"Hertz, Wilhelm "
"Q41,1",301,24,5,1,1,0,3,2,2,11,15,1,0,0,"Heyse, Paul"
"Q41,2",312,0,0,0,0,0,2,1,2,0,0,0,0,0,"Heyse, Paul"
"Q41,3",329,0,0,0,0,0,2,1,2,0,0,0,0,0,"Heyse, Paul"
