level,x,y,ID,Verfasser,Seitenzahl,Leer,Anstreichung,Unterstreichung,Durchstreichung,SonstigeMarkierung,ZusatzMaterial,Anderes,Provenienz,Stempel,Kommentar,Bewertung,Textkorrektur,Variante,Uebersetzung,LeerTotal,AnstreichungTotal,UnterstreichungTotal,DurchstreichungTotal,SonstigeMarkierungTotal,ZusatzMaterialTotal,AnderesTotal,ProvenienzTotal,StempelTotal,KommentarTotal,BewertungTotal,TextkorrekturTotal,VarianteTotal,UebersetzungTotal,Bio
verfasser,2.1185285305236445,-4.328866442041855,"Heine, Heinrich","Heine, Heinrich",330,290,11,0,1,8,0,1,3,1,4,7,12,0,0,290,11,0,1,8,0,1,3,1,4,7,12,0,0,"Christian Johann Heinrich Heine (* 13. Dezember 1797 als Harry Heine in Düsseldorf, Herzogtum Berg; † 17. Februar 1856 in Paris) war einer der bedeutendsten deutschen Dichter, Schriftsteller und Journalisten des 19. Jahrhunderts. Heine gilt als „letzter Dichter der Romantik“ und zugleich als deren Überwinder."
verfasser,1.1375157069177606,1.4574910641808738,"Hertz, Wilhelm ","Hertz, Wilhelm ",72,66,0,0,0,0,0,2,1,2,0,0,0,0,0,66,0,0,0,0,0,2,1,2,0,0,0,0,0,"Wilhelm Hertz, ab 1898 Ritter von Hertz, (auch Wilhelm von Hertz, * 24. September 1835 in Stuttgart; † 7. Januar 1902 in München) war ein deutscher Dichter und Germanist. Wilhelm Hertz war insbesondere im 19. Jahrhundert populär und ist aufgrund des weitreichenden Verlusts vieler seiner Werke heute weitgehend in Vergessenheit geraten."
verfasser,0.20842027875167488,-0.1494213086266037,"Heyse, Paul","Heyse, Paul",4492,4141,99,38,4,8,0,115,22,32,46,31,2,0,0,4141,99,38,4,8,0,115,22,32,46,31,2,0,0,"Paul Johann Ludwig von Heyse (geadelt 1910, * 15. März 1830 in Berlin; † 2. April 1914 in München) war ein deutscher Schriftsteller, Dramatiker und Übersetzer. Neben vielen Gedichten schuf Heyse rund 180 Novellen, acht Romane und 68 Dramen."
verfasser,-2.4755129414544457,-2.9965577103496477,"Hopfen, Hans","Hopfen, Hans",882,696,95,20,2,1,0,107,4,3,30,21,4,0,0,696,95,20,2,1,0,107,4,3,30,21,4,0,0,"Hans Demetrius Hopfen, ab 1888 Ritter von Hopfen, (* 3. Januar 1835 in München als Hans Mayer; † 19. November 1904 in Groß-Lichterfelde [heute Berlin]) war ein deutscher Schriftsteller."
verfasser,-6.937332717585132,-1.9842817980589327,"Immermann, Karl","Immermann, Karl",812,584,40,13,0,4,0,137,1,2,14,26,1,0,0,584,40,13,0,4,0,137,1,2,14,26,1,0,0,"Karl Leberecht Immermann (* 24. April 1796 in Magdeburg; † 25. August 1840 in Düsseldorf) war ein deutscher Schriftsteller, Lyriker und Dramatiker."
verfasser,1.0239926024687276,-0.49771669180156913,"Lenau, Nikolaus","Lenau, Nikolaus",1004,970,1,5,0,4,0,9,8,6,2,2,3,0,0,970,1,5,0,4,0,9,8,6,2,2,3,0,0,"Nikolaus Lenau, eigentlich Nikolaus Franz Niembsch (seit 1820) Edler von Strehlenau, (* 13. August 1802 in Csatád, Königreich Ungarn; † 22. August 1850 in Oberdöbling) war ein österreichischer spätromantischer Schriftsteller."
verfasser,0.31883324728629686,1.2557069775945042,"Leopardi, Giacomo ","Leopardi, Giacomo ",299,289,0,0,0,0,0,3,1,2,0,0,0,0,0,289,0,0,0,0,0,3,1,2,0,0,0,0,0,"Giacomo Leopardi (* 29. Juni 1798 in Recanati; † 14. Juni 1837 in Neapel) war ein italienischer Dichter, Essayist und Philologe. Neben Alessandro Manzoni kam ihm eine entscheidende Rolle bei der Erneuerung der italienischen Literatursprache im 19. Jahrhundert zu."
verfasser,1.4280450321051692,-0.8555189376043794,"Lepel, Bernhard von","Lepel, Bernhard von",454,396,6,4,1,3,2,26,5,3,5,0,5,0,0,396,6,4,1,3,2,26,5,3,5,0,5,0,0,Georg Friedrich Gustav Bernhard von Lepel (* 27. Mai 1818 in Meppen; † 17. Mai 1885 in Prenzlau) war ein preußischer Offizier (Major a. D.) und Schriftsteller.
verfasser,-2.218892157618243,1.8682092374461494,"Lübke, Wilhelm","Lübke, Wilhelm",2119,1924,3,1,0,3,0,29,2,3,0,0,0,0,0,1924,3,1,0,3,0,29,2,3,0,0,0,0,0,Wilhelm Lübke (* 17. Januar 1826 in Dortmund; † 5. April 1893 in Karlsruhe) war ein deutscher Kunsthistoriker.
verfasser,4.0424382211217615,-1.8475061422184953,"Lubliner, Hugo","Lubliner, Hugo",494,478,0,0,0,1,2,3,6,0,1,0,0,0,0,478,0,0,0,1,2,3,6,0,1,0,0,0,0,"Hugo Lubliner (1846–1911) war ein deutscher Dramatiker, dessen Pseudonym Hugo Bürger war."
verfasser,0.7208823201665072,-0.36831074882968856,"Mantegazza, Paolo ","Mantegazza, Paolo ",172,157,14,3,0,0,0,1,2,1,2,2,1,0,0,157,14,3,0,0,0,1,2,1,2,2,1,0,0,"Paolo Mantegazza (* 31. Oktober 1831 in Monza; † 28. August 1910 in San Terenzo) war ein italienischer Neurologe, Physiologe und Anthropologe sowie ein bedeutender Arzt und Bewusstseinsforscher. Mantegazza publizierte mehrere Romane, die zu seiner Zeit Bestseller waren, inzwischen jedoch nahezu in Vergessenheit geraten sind.  "
verfasser,6.1331820363837455,-0.20333944604264592,"Meyer, Paul","Meyer, Paul",78,47,1,0,0,17,8,0,4,1,18,0,0,0,0,47,1,0,0,17,8,0,4,1,18,0,0,0,0,"Paul Meyer (* 17. Januar 1840 in Paris; † 7. September 1917 in Saint-Mandé) war ein französischer Romanist, Provenzalist und Mediävist."
