ID,Anstreichung,Unterstreichung,Durchstreichung,SonstigeMarkierung,ZusatzMaterial,Anderes,Provenienz,Stempel,Kommentar,Bewertung,Textkorrektur,Variante,Uebersetzung,Verfasser,x,y
Q88(1858),0,0,0,2,0,3,4,2,0,0,0,0,0,[ohne Angabe],0.4135677995,0.5265669111
Q88(1859),0,0,0,0,0,0,4,2,0,0,1,0,0,[ohne Angabe],0.3625904542,0.5243521415
Q88(1860),0,0,0,0,0,1,4,3,0,0,0,0,0,[ohne Angabe],0.272908603,0.9701927869
Q89,0,0,0,0,0,0,4,3,0,0,0,0,0,[ohne Angabe],0.2655963931,0.9783995026
"Q9,1-2",0,3,0,78,0,4,8,0,0,0,0,0,0,"Fontane, Theodor",-2.362735422,-1.227850663
"Q9,3-4",0,0,0,55,0,3,9,0,0,0,0,0,0,"Fontane, Theodor",-2.65803068,-0.5175872376
Q90,1,1,0,7,0,1,6,8,0,0,0,0,0,[ohne Angabe],0.5753240522,3.931850963
Q91,0,0,0,6,0,1,5,3,2,0,0,0,0,[ohne Angabe],-0.1957605015,0.7423001189
Q92,0,0,0,0,0,0,5,3,1,0,0,0,0,[ohne Angabe],-0.1826290411,0.8446063932
Q93,0,0,0,4,0,0,7,3,0,0,0,0,0,Sonstige,-1.122516053,0.8051720673
Q94,1,0,0,32,0,25,6,2,3,0,0,0,0,Sonstige,-0.7260533597,-0.3045074615
Q95,0,0,0,3,0,0,3,3,0,0,0,0,0,"Fontane, Theodor",0.7472154036,1.040617902
Q97,0,0,0,0,0,1,5,2,1,0,0,0,0,Sonstige,-0.1436663721,0.4125503522
Q98,0,2,9,0,0,3,4,1,0,0,64,0,0,"Scherenberg, Christian Friedrich",-13.11457158,-9.296682842
Q99,8,1,0,6,0,0,4,1,0,0,3,0,0,"Scherenberg, Christian Friedrich",0.5302368527,-0.3867447108
"VI,12(Andr.)",1,0,1,0,0,0,10,3,1,4,2,0,0,Sonstige,-2.974629855,-0.2678865848
